CONDITION_CATEGORY,CONDITION,CODE,CODE_TYPE,INCLUSION_TYPE,ADDITIONAL_LOGIC
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I97821,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Opioid Use Disorder,T403X5D,ICD-10-CM,Include,None
Other,Asthma,J4550,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F13220,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0828,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97119,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32401A,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06899S,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06319S,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133392,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97101,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08232,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14148A,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F18920,ICD-10-CM,Include,None
Other,Mobility Impairments,I69251,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8445,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06871,ICD-10-CM,Include,None
Other,Mobility Impairments,I69059,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F14220,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9302,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M162,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F15920,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease,G301,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S04012S,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N050,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L8946,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M60811,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70633,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97125,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72112A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97403,ICD-10-CM,Include,None
Other,Mobility Impairments,I69032,ICD-10-CM,Include,None
Other,Anemia,D591,ICD-10-CM,Include,None
Mental Health,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",F633,ICD-10-CM,Include,None
Mental Health,Depression,F3160,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q010,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I509,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8245,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70535,ICD-10-CM,Include,None
Other,Anemia,D57452,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02601B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S14128A,ICD-10-CM,Include,None
Other,Mobility Impairments,G8100,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8143,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06359A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Mental Health,Bipolar Disorder,F310,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103411,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I2582,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05359,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72026A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08072,ICD-10-CM,Include,None
Other,Mobility Impairments,I69262,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02651A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Intellectual Disabilities and Related Conditions,Q9261,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40492A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89224,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40495A,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8178,ICD-10-CM,Include,None
Neurodegenerative Disease,Muscular Dystrophy,G710,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M609,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06368S,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14158S,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,Z7151,ICD-10-CM,Include,None
Mental Health,Schizophrenia,F251,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F19251,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S79009A,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8247,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05561,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N017,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02121B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Lung Cancer,Z85110,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63333,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E13630,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12988,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M4721,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06344S,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14115A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02842B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S14156A,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72064C,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S060X7A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S14115S,ICD-10-CM,Include,None
Other,Cataract,H2620,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Mental Health,Schizophrenia and Other Psychotic Disorders,F250,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,M84550A,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8464,ICD-10-CM,Include,None
Other,Cataract,H26139,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M4727,ICD-10-CM,Include,None
Neurodegenerative Disease,Multiple Sclerosis and Transverse Myelitis,G372,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1011,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3175,ICD-10-CM,Include,None
Other,Glaucoma,H40011,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Opioid Use Disorder,T404X5D,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S064X0S,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6789,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L97828,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8397,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103519,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E724,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F14281,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19012,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6310,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02849G,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Sensory — Blindness and Visual Impairment,H541213,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K7200,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K8037,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S064X1S,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63533,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Anemia,D538,ICD-10-CM,Include,None
Mental Health,Anxiety Disorders,R456,ICD-10-CM,Include,None
Mental Health,Post-Traumatic Stress Disorder (PTSD),F4312,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S060X5A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,I70331,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I259,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8523,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I25768,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q055,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06232,ICD-10-CM,Include,None
Substance Abuse,Tobacco Use,T65292A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S32049B,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05671,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,D593,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease and Related Disorders or Senile Dementia,F0281,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T403X2A,ICD-10-CM,Include,None
Other,Mobility Impairments,I69249,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,G8929,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I663,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E083292,ICD-10-CM,Include,None
Other,Anemia,D5913,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72063C,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89116,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43601,ICD-10-CM,Include,None
Cancer,Endometrial Cancer,D070,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,I130,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02842K,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spinal Cord Injury,S34102A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89123,ICD-10-CM,Include,None
Other,Glaucoma,H40032,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C9110,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1199,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E009,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T40492A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70541,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43901,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08879,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F21,ICD-10-CM,Include,None
Other,Learning Disabilities,F819,ICD-10-CM,Include,None
Other,Glaucoma,H401114,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05722,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05031,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I256,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q011,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32452A,ICD-10-CM,Include,None
Other,Acquired Hypothyroidism,E032,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease and Related Disorders or Senile Dementia,G311,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08071,ICD-10-CM,Include,None
Cardiovascular Disease,Acute Myocardial Infarction,I2119,ICD-10-CM,Include,Only include first or second diagnosis from the encounter
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",06L30ZZ,ICD-10-PCS,Include,None
Other,Mobility Impairments,I69054,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72145B,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8524,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06899A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Colorectal Cancer,D011,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q860,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S7224XA,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S32059B,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E0841,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24102A,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T400X2A,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3189,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S7226XA,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14122A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24141S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M1919,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8316,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1810,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34111S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08479,ICD-10-CM,Include,None
Other,Mobility Impairments,I69844,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89891,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97822,ICD-10-CM,Include,None
Other,Anemia,D57213,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63313,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L97501,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F1020,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24153A,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E7229,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11282,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50629,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S32019A,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N034,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97508,ICD-10-CM,Include,None
Other,Epilepsy,G40909,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,G462,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Mobility Impairments,I69353,ICD-10-CM,Include,None
Other,Cataract,H26113,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Anemia,D550,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0261XA,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I639,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Colorectal Cancer,Z85048,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12250,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6359,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Mobility Impairments,I69965,ICD-10-CM,Include,None
Cancer,Prostate Cancer,D075,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08821,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E70329,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C92Z1,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G4485,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I50812,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8406,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32311A,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q931,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S12201B,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02129A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Mobility Impairments,I69333,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47898,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C84A0,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E13638,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9251,ICD-10-CM,Include,None
Other,Glaucoma,H401190,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Spinal Cord Injury,S24153S,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133391,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E093553,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L8995,ICD-10-CM,Include,None
Other,Glaucoma,H401321,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06825S,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I2111,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G44039,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I6302,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06381S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8302,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F39,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1824,ICD-10-CM,Include,None
Other,Cataract,H26033,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Spinal Cord Injury,S12500A,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32502B,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T403X3A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70745,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72122A,ICD-10-CM,Include,None
Other,Glaucoma,H4050X1,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E083549,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E0821,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14119S,ICD-10-CM,Include,None
Other,Sickle Cell Disease,D57211,ICD-10-CM,Include,None
Mental Health,Anxiety Disorders,F42,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8240,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F1119,ICD-10-CM,Include,None
